date,price,volume
12/06/2016,2212.23,552502592
12/05/2016,2204.71,627944512
12/02/2016,2191.95,593367872
12/01/2016,2191.08,750913728
11/30/2016,2198.81,1060169600
11/29/2016,2204.66,588951872
11/28/2016,2201.72,567041344
11/25/2016,2213.35,262991648
11/23/2016,2204.72,526711808
11/22/2016,2202.94,599368512
11/21/2016,2198.18,578108160
11/18/2016,2181.9,676655488
11/17/2016,2187.12,576173696
11/16/2016,2176.94,580519552
11/15/2016,2180.39,694344960
11/14/2016,2164.2,807422080
11/11/2016,2164.45,745938112
11/10/2016,2167.48,1010327936
11/09/2016,2163.26,1010754304
11/08/2016,2139.56,559758144
11/07/2016,2131.52,612269376
11/04/2016,2085.18,627701120
11/03/2016,2088.66,599409920
11/02/2016,2097.94,654469248
11/01/2016,2111.72,721729792
10/31/2016,2126.15,675902400
10/28/2016,2126.41,646184448
10/27/2016,2133.04,619899264
10/26/2016,2139.43,566869952
10/25/2016,2143.16,535705920
10/24/2016,2151.33,526044352
10/21/2016,2141.16,658777088
10/20/2016,2141.34,578266432
10/19/2016,2144.29,556265600
10/18/2016,2139.6,492689952
10/17/2016,2126.5,485674848
10/14/2016,2132.98,554272896
10/13/2016,2132.55,572529600
10/12/2016,2139.18,463375712
10/11/2016,2136.73,584017408
10/10/2016,2163.66,457736256
10/07/2016,2153.74,625974912
10/06/2016,2160.77,521499520
10/05/2016,2159.73,604384192
10/04/2016,2150.49,569704512
10/03/2016,2161.2,520611104
09/30/2016,2168.27,816814784
09/29/2016,2151.13,627600320
09/28/2016,2171.37,562615232
09/27/2016,2159.93,540297216
09/26/2016,2146.1,527219744
09/23/2016,2164.69,546693440
09/22/2016,2177.18,548107200
09/21/2016,2163.12,593312896
09/20/2016,2139.76,490323872
09/19/2016,2139.12,519131168
09/16/2016,2139.16,1486526848
09/15/2016,2147.26,590921280
09/14/2016,2125.77,621661632
09/13/2016,2127.02,679321024
09/12/2016,2159.04,686449344
09/09/2016,2127.81,742157440
09/08/2016,2181.3,535837216
09/07/2016,2186.16,518807040
09/06/2016,2186.48,583417280
09/02/2016,2179.98,497007424
09/01/2016,2170.86,511280608
08/31/2016,2170.95,664761728
08/30/2016,2176.12,474472896
08/29/2016,2180.38,437755392
08/26/2016,2169.04,498829888
08/25/2016,2172.47,463389440
08/24/2016,2175.44,477227808
08/23/2016,2186.9,471610304
08/22/2016,2182.64,467648128
08/19/2016,2183.87,587731072
08/18/2016,2187.02,519736000
08/17/2016,2182.22,506526016
08/16/2016,2178.15,493458112
08/15/2016,2190.15,452636224
08/12/2016,2184.05,451102272
08/11/2016,2185.79,483575456
08/10/2016,2175.49,449371616
08/09/2016,2181.74,432802336
08/08/2016,2180.89,495554912
08/05/2016,2182.87,577388096
08/04/2016,2164.25,501016000
08/03/2016,2163.79,547067200
08/02/2016,2157.03,625147776
08/01/2016,2170.84,551066560
07/29/2016,2173.6,796477568
07/28/2016,2170.06,570797376
07/27/2016,2166.58,672506752
07/26/2016,2169.18,552977664
07/25/2016,2168.48,544409408
07/22/2016,2175.03,535182624
07/21/2016,2165.17,565301120
07/20/2016,2173.02,506695648
07/19/2016,2163.78,525463328
07/18/2016,2166.89,492298272
07/15/2016,2161.74,653723648
07/14/2016,2163.75,538126272
07/13/2016,2152.43,522404448
07/12/2016,2152.14,611009216
07/11/2016,2137.16,530575168
07/08/2016,2129.9,603899968
07/07/2016,2097.9,553889536
07/06/2016,2099.73,656260672
07/05/2016,2088.55,656770496
07/01/2016,2102.95,560020608
06/30/2016,2098.86,904116096
06/29/2016,2070.77,700682624
06/28/2016,2036.09,727735808
06/27/2016,2000.54,894062528
06/24/2016,2037.41,1417686656
06/23/2016,2113.32,531486240
06/22/2016,2085.45,524383936
06/21/2016,2088.9,541656256
06/20/2016,2083.25,604926912
06/17/2016,2071.22,1309407488
06/16/2016,2077.99,560644736
06/15/2016,2071.5,583906304
06/14/2016,2075.32,587042304
06/13/2016,2079.06,569050816
06/10/2016,2096.07,560316672
06/09/2016,2115.48,494302304
06/08/2016,2119.12,504334528
06/07/2016,2112.13,547234432
06/06/2016,2109.41,539604224
06/03/2016,2099.13,577616768
06/02/2016,2105.26,637598272
06/01/2016,2099.33,574237504
05/31/2016,2096.96,913199936
05/27/2016,2099.06,520205696
05/26/2016,2090.1,487242912
05/25/2016,2090.54,589978688
05/24/2016,2076.06,566247808
05/23/2016,2048.04,530526976
05/20/2016,2052.32,725380864
05/19/2016,2040.04,595418112
05/18/2016,2047.63,564732992
05/17/2016,2047.21,694138688
05/16/2016,2066.66,579641216
05/13/2016,2046.61,575820096
05/12/2016,2064.11,597079552
05/11/2016,2064.46,588437248
05/10/2016,2084.39,526241664
05/09/2016,2058.69,562123392
05/06/2016,2057.14,595556032
05/05/2016,2050.63,606989440
05/04/2016,2051.12,634264320
05/03/2016,2063.37,642409216
05/02/2016,2081.43,608904704
04/29/2016,2065.3,895628992
04/28/2016,2075.81,700338112
04/27/2016,2095.15,686670720
04/26/2016,2091.7,608550464
04/25/2016,2087.79,551214976
04/22/2016,2091.58,712585792
04/21/2016,2091.48,661881152
04/20/2016,2102.4,630234240
04/19/2016,2100.8,606757632
04/18/2016,2094.34,559823936
04/15/2016,2080.73,708648704
04/14/2016,2082.78,573460480
04/13/2016,2082.42,643524672
04/12/2016,2061.72,599364032
04/11/2016,2041.99,597863168
04/08/2016,2047.6,551728320
04/07/2016,2041.91,648415872
04/06/2016,2066.66,595344896
04/05/2016,2045.17,676197056
04/04/2016,2066.13,546680384
04/01/2016,2072.78,666015104
03/31/2016,2059.74,651556864
03/30/2016,2063.95,527219872
03/29/2016,2055.01,590708224
03/28/2016,2037.05,470922944
03/24/2016,2035.94,610855616
03/23/2016,2036.71,551169600
03/22/2016,2049.8,564581888
03/21/2016,2051.6,546117120
03/18/2016,2049.58,1755882112
03/17/2016,2040.59,668462080
03/16/2016,2027.22,625199104
03/15/2016,2015.93,537918144
03/14/2016,2019.64,552448576
03/11/2016,2022.19,651166528
03/10/2016,1989.57,679497152
03/09/2016,1989.26,617763136
03/08/2016,1979.26,716139584
03/07/2016,2001.76,671945728
03/04/2016,1999.99,798710592
03/03/2016,1993.4,676537152
03/02/2016,1986.45,688728960
03/01/2016,1978.35,754116160
02/29/2016,1932.23,865264000
02/26/2016,1948.05,683476544
02/25/2016,1951.7,605223616
02/24/2016,1929.8,671767104
02/23/2016,1921.27,640289664
02/22/2016,1945.5,680678400
02/19/2016,1917.78,879010688
02/18/2016,1917.83,742292224
02/17/2016,1926.82,827137664
02/16/2016,1895.58,854329536
02/12/2016,1864.78,810026560
02/11/2016,1829.08,967843712
02/10/2016,1851.86,772848128
02/09/2016,1852.21,857851712
02/08/2016,1853.44,1030158592
02/05/2016,1880.05,878323648
02/04/2016,1915.45,886268416
02/03/2016,1912.53,936651584
02/02/2016,1903.03,816298560
02/01/2016,1939.38,724321536
01/29/2016,1940.24,1230857984
01/28/2016,1893.36,833137472
01/27/2016,1882.95,813037568
01/26/2016,1903.63,707140736
01/25/2016,1877.08,773700224
01/22/2016,1906.9,821294080
01/21/2016,1868.99,865664320
01/20/2016,1859.33,1092011008
01/19/2016,1881.33,891805760
01/15/2016,1880.33,1206742784
01/14/2016,1921.84,931479040
01/13/2016,1890.28,886396800
01/12/2016,1938.68,768301056
01/11/2016,1923.67,788334720
01/08/2016,1922.03,819684992
01/07/2016,1943.09,876560192
01/06/2016,1990.26,745563264
01/05/2016,2016.71,629042368
01/04/2016,2012.66,817659264
12/31/2015,2043.94,487696736
12/30/2015,2063.36,339059456
12/29/2015,2078.36,389239744
12/28/2015,2056.5,374236032
12/24/2015,2060.99,252714208
12/23/2015,2064.29,553948480
12/22/2015,2038.97,559953152
12/21/2015,2021.15,615865536
12/18/2015,2005.55,1822321920
12/17/2015,2041.89,655534848
12/16/2015,2073.07,690050304
12/15/2015,2043.41,702379904
12/14/2015,2021.94,785086720
12/11/2015,2012.37,729383744
12/10/2015,2052.23,610605888
12/09/2015,2047.62,754895424
12/08/2015,2063.59,677047680
12/07/2015,2077.07,648025216
12/04/2015,2091.69,751361856
12/03/2015,2049.62,761989440
12/02/2015,2079.51,661109504
12/01/2015,2102.63,599103616
11/30/2015,2080.41,830705216
11/27/2015,2090.11,243529344
11/25/2015,2088.87,449950496
11/24/2015,2089.14,615626560
11/23/2015,2086.59,580602624
11/20/2015,2089.17,701089728
11/19/2015,2081.24,557110912
11/18/2015,2083.58,618006848
11/17/2015,2050.44,684883712
11/16/2015,2053.19,615213568
11/13/2015,2023.04,661114496
11/12/2015,2045.97,583695424
11/11/2015,2075,520282624
11/10/2015,2081.72,573263360
11/09/2015,2078.58,675291904
11/06/2015,2099.2,673627648
11/05/2015,2099.93,602367808
11/04/2015,2102.31,630789568
11/03/2015,2109.79,597109248
11/02/2015,2104.05,591491584
10/30/2015,2079.36,802944896
10/29/2015,2089.41,558104768
10/28/2015,2090.35,672605248
10/27/2015,2065.89,671603776
10/26/2015,2071.18,615001472
10/23/2015,2075.15,764446656
10/22/2015,2052.51,801515328
10/21/2015,2018.94,634937600
10/20/2015,2030.77,579182592
10/19/2015,2033.66,607649280
10/16/2015,2033.11,720990848
10/15/2015,2023.86,686490624
10/14/2015,1994.24,640033792
10/13/2015,2003.69,579995008
10/12/2015,2017.46,473699392
10/09/2015,2014.89,631965696
10/08/2015,2013.43,614973760
10/07/2015,1995.83,743747840
10/06/2015,1979.92,687947648
10/05/2015,1987.05,733824256
10/02/2015,1951.36,785596224
10/01/2015,1923.82,687303616
09/30/2015,1920.03,862550144
09/29/2015,1884.09,768309120
09/28/2015,1881.77,811109376
09/25/2015,1931.34,700778880
09/24/2015,1932.24,725975744
09/23/2015,1938.76,514180064
09/22/2015,1942.74,704628608
09/21/2015,1966.97,585108352
09/18/2015,1958.03,1874791168
09/17/2015,1990.2,717577856
09/16/2015,1995.31,606996224
09/15/2015,1978.09,558803072
09/14/2015,1953.03,564066048
09/11/2015,1961.05,599817920
09/10/2015,1952.29,678267456
09/09/2015,1942.04,703961664
09/08/2015,1969.41,704348736
09/04/2015,1921.22,675811648
09/03/2015,1951.13,642895104
09/02/2015,1948.86,745239040
09/01/2015,1913.85,884847040
08/31/2015,1972.18,775156608
08/28/2015,1988.87,730504000
08/27/2015,1987.66,937936192
08/26/2015,1940.51,1047032768
08/25/2015,1867.61,1063062848
08/24/2015,1893.21,1350121472
08/21/2015,1970.89,1077363072
08/20/2015,2035.73,686628352
08/19/2015,2079.61,578300480
08/18/2015,2096.92,453743648
08/17/2015,2102.44,432682560
08/14/2015,2091.54,458014432
08/13/2015,2083.39,524653856
08/12/2015,2086.05,654851200
08/11/2015,2084.07,572683712
08/10/2015,2104.18,545988160
08/07/2015,2077.57,538228032
08/06/2015,2083.56,621613696
08/05/2015,2099.84,586582464
08/04/2015,2093.32,552836992
08/03/2015,2098.04,554008960
07/31/2015,2103.84,651341056
07/30/2015,2108.63,513199040
07/29/2015,2108.57,579763776
07/28/2015,2093.25,620626560
07/27/2015,2067.64,667212992
07/24/2015,2079.65,629186496
07/23/2015,2102.15,593052480
07/22/2015,2114.15,619434368
07/21/2015,2119.21,566156224
07/20/2015,2128.28,509967424
07/17/2015,2126.64,636935424
07/16/2015,2124.29,538689792
07/15/2015,2107.4,547400512
07/14/2015,2108.95,508384000
07/13/2015,2099.6,509909472
07/10/2015,2076.62,495269056
07/09/2015,2051.31,566892224
07/08/2015,2046.68,388666336
07/07/2015,2081.34,639140352
07/06/2015,2068.76,594511232
07/02/2015,2076.78,489734016
07/01/2015,2077.42,536482208
06/30/2015,2063.11,726352256
06/29/2015,2057.64,596336896
06/26/2015,2101.49,939093568
06/25/2015,2102.31,503689792
06/24/2015,2108.58,542556416
06/23/2015,2124.2,458723552
06/22/2015,2122.85,472835104
06/19/2015,2109.99,1262677632
06/18/2015,2121.24,552029248
06/17/2015,2100.44,489365184
06/16/2015,2096.29,423381152
06/15/2015,2084.43,512029184
06/12/2015,2094.11,456747968
06/11/2015,2108.86,548636544
06/10/2015,2105.2,513278144
06/09/2015,2080.15,498462304
06/08/2015,2079.28,494053920
06/05/2015,2092.83,567359104
06/04/2015,2095.84,529531520
06/03/2015,2114.07,474052832
06/02/2015,2109.6,477625184
06/01/2015,2111.73,496321824
05/29/2015,2107.39,768062208
05/28/2015,2120.79,441847488
05/27/2015,2123.48,521363168
05/26/2015,2104.2,565730880
05/22/2015,2126.06,431185120
05/21/2015,2130.82,490181856
05/20/2015,2125.85,519596768
05/19/2015,2127.83,526865184
05/18/2015,2129.2,452532480
05/15/2015,2122.73,615096320
05/14/2015,2121.1,486270432
05/13/2015,2098.48,482084640
05/12/2015,2099.12,479504928
05/11/2015,2105.33,475660096
05/08/2015,2116.1,536169248
05/07/2015,2088,545155584
05/06/2015,2080.15,563782528
05/05/2015,2089.46,546268352
05/04/2015,2114.49,468420992
05/01/2015,2108.29,517351488
04/30/2015,2085.51,696789504
04/29/2015,2106.85,560514752
04/28/2015,2114.76,555166400
04/27/2015,2108.92,601573312
04/24/2015,2117.69,563442048
04/23/2015,2112.93,579433600
04/22/2015,2107.96,532741408
04/21/2015,2097.29,499610688
04/20/2015,2100.4,489427808
04/17/2015,2081.18,671368960
04/16/2015,2104.99,504965120
04/15/2015,2106.63,573306624
04/14/2015,2095.84,459195808
04/13/2015,2092.43,495736640
04/10/2015,2102.06,473559040
04/09/2015,2091.18,483774336
04/08/2015,2081.9,500216192
04/07/2015,2076.33,444401344
04/06/2015,2080.62,610287936
04/02/2015,2066.96,492594688
04/01/2015,2059.69,577114176
03/31/2015,2067.89,671221952
03/30/2015,2086.24,499786176
03/27/2015,2061.02,554212096
03/26/2015,2056.15,629338432
03/25/2015,2061.05,591249664
03/24/2015,2091.5,518017184
03/23/2015,2104.42,505802624
03/20/2015,2108.1,1569085440
03/19/2015,2089.27,538912768
03/18/2015,2099.5,642799488
03/17/2015,2074.28,482915200
03/16/2015,2081.19,549107968
03/13/2015,2053.4,559884480
03/12/2015,2065.95,547397376
03/11/2015,2040.24,547776128
03/10/2015,2044.16,625562688
03/09/2015,2079.43,500131872
03/06/2015,2071.26,663313984
03/05/2015,2101.04,488319360
03/04/2015,2098.53,510419040
03/03/2015,2107.78,505059072
03/02/2015,2117.39,524842816
02/27/2015,2104.5,603843456
02/26/2015,2110.74,511278208
02/25/2015,2113.86,492795808
02/24/2015,2115.48,507302944
02/23/2015,2109.66,503653216
02/20/2015,2110.3,630178304
02/19/2015,2097.45,471760544
02/18/2015,2099.68,466127968
02/17/2015,2100.34,565219584
02/13/2015,2096.99,510418560
02/12/2015,2088.48,577589568
02/11/2015,2068.53,511007616
02/10/2015,2068.59,546738112
02/09/2015,2046.74,513780480
02/06/2015,2055.47,603001728
02/05/2015,2062.52,546894528
02/04/2015,2041.51,650883136
02/03/2015,2050.03,669646400
02/02/2015,2020.85,652420544
01/30/2015,1994.99,919574656
01/29/2015,2021.25,681082880
01/28/2015,2002.16,717223424
01/27/2015,2029.55,602696576
01/26/2015,2057.09,539970176
01/23/2015,2051.82,546891008
01/22/2015,2063.15,653642048
01/21/2015,2032.12,552155584
01/20/2015,2022.55,616621888
01/16/2015,2019.42,742480704
01/15/2015,1992.67,621963008
01/14/2015,2011.27,684866624
01/13/2015,2023.03,624200640
01/12/2015,2028.26,543538944
01/09/2015,2044.81,508986976
01/08/2015,2062.14,614787008
01/07/2015,2025.9,546558976
01/06/2015,2002.61,640380544
01/05/2015,2020.58,621869504
01/02/2015,2058.2,435587744
12/31/2014,2058.9,422132544
12/30/2014,2080.35,315475424
12/29/2014,2090.57,336886208
12/26/2014,2088.77,290110912
12/24/2014,2081.88,229198464
12/23/2014,2082.17,483428768
12/22/2014,2078.54,571130624
12/19/2014,2070.65,1646902272
12/18/2014,2061.23,677713024
12/17/2014,2012.89,671782208
12/16/2014,1972.74,706264960
12/15/2014,1989.63,683460608
12/12/2014,2002.33,671126400
12/11/2014,2035.33,544616384
12/10/2014,2026.14,631221120
12/09/2014,2059.82,545168576
12/08/2014,2060.31,561256448
12/05/2014,2075.37,504616736
12/04/2014,2071.92,505428768
12/03/2014,2074.33,546661120
12/02/2014,2066.55,510403936
12/01/2014,2053.44,564631744
11/28/2014,2067.56,416521408
11/26/2014,2072.83,517876352
11/25/2014,2067.03,597605120
11/24/2014,2069.41,493393984
11/21/2014,2063.5,741511872
11/20/2014,2052.75,467789184
11/19/2014,2048.72,478726752
11/18/2014,2051.8,485794304
11/17/2014,2041.32,495556288
11/14/2014,2039.82,470705056
11/13/2014,2039.33,499429664
11/12/2014,2038.25,485259584
