"date","sentiment_mean","sentiment_sd","monthly_tweet_count"
2015-06-01,0.0139176253056322,0.369029828555584,327203
2015-07-01,0.00638779906022114,0.368162575048401,250705
2015-08-01,-0.00202862762966145,0.361732111488252,179967
2015-09-01,-0.0336213881081076,0.364858511289688,115625
2015-10-01,-0.0274678708133977,0.384319024300529,41801
2015-11-01,0.0264284106484228,0.377133049569269,89741
2015-12-01,0.0419659564089686,0.380057775029694,336221
2016-01-01,0.00927181640196444,0.381578135036475,191027
2016-02-01,0.0686836158879979,0.398734052276141,164280
2016-03-01,0.00747491565244047,0.383844176459385,186431
2016-04-01,-0.0023028897705348,0.375254803944829,74608
2016-05-01,-0.00750559258082056,0.376082768724452,223426
2016-06-01,0.0132060407900746,0.381678736081927,111939
2016-07-01,-0.00741841784103185,0.38687962581561,164700
2016-08-01,-0.00307799050009415,0.359907155287068,96422
